Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011708891-1;29.04.2024;1987005358;HAD;Hyse;06;Helgelandsbanken;22;46.2
4-1129238-1;29.04.2024;1997004874;HAD;Hyse;07;Storegga-Frøyabanken;35;88.2
4-1129238-2;29.04.2024;1997004874;HAD;Hyse;07;Storegga-Frøyabanken;35;296.8
4-1129238-3;29.04.2024;1997004874;HAD;Hyse;07;Storegga-Frøyabanken;35;32.2
4-1129238-4;29.04.2024;1997004874;HAD;Hyse;07;Storegga-Frøyabanken;35;919.8
6-265621-2;29.04.2024;1971003988;HAD;Hyse;07;Storegga-Frøyabanken;20;45.6
6-265628-2;29.04.2024;2014066552;HAD;Hyse;07;Storegga-Frøyabanken;61;1545.84
6-265630-5;29.04.2024;1999003640;HAD;Hyse;07;Storegga-Frøyabanken;20;79.8
6-265631-4;29.04.2024;2019108973;HAD;Hyse;07;Storegga-Frøyabanken;22;1106.94
6-265634-7;29.04.2024;;HAD;Hyse;07;Storegga-Frøyabanken;20;12.54
4-3020469-4;29.04.2024;1996006444;HAD;Hyse;08;Eigersundbanken;22;1.71
4-3020483-1;29.04.2024;1994003398;HAD;Hyse;08;Eigersundbanken;22;8.82
2-4039992-1;29.04.2024;2011056570;HAD;Hyse;08;Eigersundbanken;22;1.14
2-4040019-2;29.04.2024;1983008437;HAD;Hyse;08;Eigersundbanken;22;2.28
2-4040119-5;29.04.2024;2006034687;HAD;Hyse;08;Eigersundbanken;55;2.28
6-12078-6;30.04.2024;1969000787;HAD;Hyse;08;Eigersundbanken;51;0.0
6-266026-1;30.04.2024;1969000787;HAD;Hyse;08;Eigersundbanken;51;413.0
6-266491-1;30.04.2024;1969000787;HAD;Hyse;08;Eigersundbanken;51;4627.0
2-4040022-8;30.04.2024;2023124495;HAD;Hyse;08;Eigersundbanken;61;232.56
7-7000011708806-6;29.04.2024;1992003683;POK;Sei;03;Øst-Finnmark;30;7.5
7-7000011708830-2;29.04.2024;1985002140;POK;Sei;03;Øst-Finnmark;32;2.0
7-7000011708845-4;29.04.2024;1979002403;POK;Sei;03;Øst-Finnmark;30;6.0
7-7000011708858-4;29.04.2024;1988002411;POK;Sei;03;Øst-Finnmark;33;8.4
7-7000011708863-4;29.04.2024;1996006632;POK;Sei;03;Øst-Finnmark;22;1.5
7-7000011708868-3;29.04.2024;1996000982;POK;Sei;03;Øst-Finnmark;22;14.0
7-7000011708875-4;29.04.2024;1999005885;POK;Sei;03;Øst-Finnmark;22;5.4
7-7000011708896-1;29.04.2024;1999003691;POK;Sei;03;Øst-Finnmark;22;2.0
7-7000011709551-1;30.04.2024;;POK;Sei;03;Øst-Finnmark;33;11.8
7-7000011708781-1;29.04.2024;2016072637;POK;Sei;04;Vest-Finnmark;33;12.0
